Title,Address,lat,lng,level,price,location,Complete_Address,Zip_code
"Rumah cantik dan minimalis di Legenda Wisata, Legenda Wisata, Jakarta Timur","Legenda Wisata, Jakarta Timur",-6.3669854,106.88583740000001,"DKI Jakarta,Jakarta Timur,Legenda Wisata",24000000,"-6.3669854,106.88583740000001","Jalan Mualim Aminudin, RW 14, Cibubur, Ciracas, Jakarta Timur, JKT, 13720, NKRI",13720
"The Orchard Satrio 2br + 2bathroom Fully Furnished, Price Negotiabble, Kuningan, Jakarta Selatan","Kuningan, Jakarta Selatan",-6.237343,106.82368300000007,"DKI Jakarta,Jakarta Selatan,Kuningan",312660000,"-6.237343,106.82368300000007","Masjid Al-Huda, Kuningan Barat Raya (KH. Abd. Rohim), RW 02, Kuningan Barat, Mampang Prapatan, Jakarta Selatan, JKT, 12940, NKRI",12940
"Rumah 2Lantai Luas 6x17 Type 3KT UF Cluster Thames JGC Jakarta Garden City Jakarta Timur, Cakung, Jakarta Timur","Cakung, Jakarta Timur",-6.184854000000001,106.94483600000001,"DKI Jakarta,Jakarta Timur,Cakung",38000000,"-6.184854000000001,106.94483600000001","RW 02, Cakung Timur, Cakung, Jakarta Timur, JKT, 13910, NKRI",13910
"Ambassade Residence 2 BR - Nice Furnished - Prime Location, walking distance to CBD Kuningan, Kuningan, Jakarta Selatan","Kuningan, Jakarta Selatan",-6.235303999999999,106.82101969999997,"DKI Jakarta,Jakarta Selatan,Kuningan",168000000,"-6.235303999999999,106.82101969999997","Musholla Al-Muttaqin, Jalan Kuningan Barat I, RW 01, Kuningan Barat, Mampang Prapatan, Jakarta Selatan, JKT, 12950, NKRI",12950
"Studio unfurnish bagus dan murah view ke pool di greenbay pluit tahap 1, Pluit, Jakarta Utara","Pluit, Jakarta Utara",-6.1155161,106.78381089999993,"DKI Jakarta,Jakarta Utara,Pluit",16000000,"-6.1155161,106.78381089999993","Rumah Pompa RW 17, Jalan Pluit Karang Timur, RT 05, RW 17, Pluit, Penjaringan, Jakarta Utara, JKT, 14450, NKRI",14450
"rumah siap huni, Kota Wisata, Jakarta Timur","Kota Wisata, Jakarta Timur",None,None,"DKI Jakarta,Jakarta Timur,Kota Wisata",45000000,,,
"Apartemen District 8, Type 1 Bedroom &amp; Fully Furnished By Sava Jakarta, SCBD, Jakarta Selatan","SCBD, Jakarta Selatan",-6.2273222,106.8105478,"DKI Jakarta,Jakarta Selatan,SCBD",312000000,"-6.2273222,106.8105478","SCBD Southway, RW 01, Senayan, Kebayoran Baru, Jakarta Selatan, JKT, 12190, NKRI",12190
"Rumah 2 lantai 8x16,5 Type 3KT Cluster Alamanda JGC Jakarta Garden City Jakarta Timur, Cakung, Jakarta Timur","Cakung, Jakarta Timur",-6.184854000000001,106.94483600000001,"DKI Jakarta,Jakarta Timur,Cakung",50000000,"-6.184854000000001,106.94483600000001","RW 02, Cakung Timur, Cakung, Jakarta Timur, JKT, 13910, NKRI",13910
"Essence Dharmawangsa, Kebayoran Baru, Jakarta Selatan","Kebayoran Baru, Jakarta Selatan",-6.244317,106.79521,"DKI Jakarta,Jakarta Selatan,Kebayoran Baru",238644000,"-6.244317,106.79521","Grand Mahakam, Jl Mahakam, RW 06, Kramat Pela, Kebayoran Baru, Jakarta Selatan, JKT, 12130, NKRI",12130
"Kuningan City Residence 1BR 48sqm, fully Furnished minimalis, Kuningan, Jakarta Selatan","Kuningan, Jakarta Selatan",-6.237116899999999,106.82358999999997,"DKI Jakarta,Jakarta Selatan,Kuningan",168000000,"-6.237116899999999,106.82358999999997","Badan Tenaga Atom Nasional, Kuningan Barat Raya (KH. Abd. Rohim), RW 02, Kuningan Barat, Mampang Prapatan, Jakarta Selatan, JKT, 12940, NKRI",12940
"Apartemen Nyaman &amp; Bagus 2 Bedroom di Santa Monica MOI Kelapa Gading, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",-6.175445,106.82800429999998,"DKI Jakarta,Jakarta Utara,Kelapa Gading",58000000,"-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
"Rumah Siap Huni, 2LT, Hadap Timur di Daan Mogot Baru, Daan Mogot, Jakarta Barat","Daan Mogot, Jakarta Barat",-6.157699,106.76061500000003,"DKI Jakarta,Jakarta Barat,Daan Mogot",42000000,"-6.157699,106.76061500000003","Jalan Daan Mogot, RT 03, RW 03, Kedaung Kali Angke, Cengkareng, Jakarta Barat, JKT, 11520, NKRI",11520
"Rumah 2,5 lantai di Duri Kepa, Jakarta Barat, Duri Kepa, Jakarta Barat","Duri Kepa, Jakarta Barat",-6.1737361,106.77580549999993,"DKI Jakarta,Jakarta Barat,Duri Kepa",55000000,"-6.1737361,106.77580549999993","Jalan Mangga Raya, RW 03, Duri Kepa, Kebon Jeruk, Jakarta Barat, JKT, 11510, NKRI",11510
"Apartemen The Masterpiece 83sqm by Prasetyo Property, Setiabudi, Jakarta Selatan","Setiabudi, Jakarta Selatan",-6.2075673,106.82690279999997,"DKI Jakarta,Jakarta Selatan,Setiabudi",264000000,"-6.2075673,106.82690279999997","Jalan Setia Budi III, RW 03, Setiabudi, Jakarta Selatan, JKT, 12980, NKRI",12980
"Apartement Casablanca, Cassablanca, Jakarta Selatan","Cassablanca, Jakarta Selatan",-6.224271,106.83997580000005,"DKI Jakarta,Jakarta Selatan,Cassablanca",286261500,"-6.224271,106.83997580000005","The Park Lane Jakarta, Jalan Raya Casablanca, RW 05, Menteng Dalam, Tebet, Jakarta Selatan, JKT, 12960, NKRI",12960
"Aspen Resd. Lantai diatas 15, 2 Br view City, Fatmawati, Jakarta Selatan","Fatmawati, Jakarta Selatan",-6.2803631,106.79674799999998,"DKI Jakarta,Jakarta Selatan,Fatmawati",102000000,"-6.2803631,106.79674799999998","Bank Mandiri, Jalan RS Fatmawati, RW 03, Cilandak, Cilandak Barat, Cilandak, Jakarta Selatan, JKT, 12420, NKRI",12420
"2br fullfurnish bagus,unit lengkap di apartemen greenbay pluit, Pluit, Jakarta Utara","Pluit, Jakarta Utara",-6.1155161,106.78381089999993,"DKI Jakarta,Jakarta Utara,Pluit",66000000,"-6.1155161,106.78381089999993","Rumah Pompa RW 17, Jalan Pluit Karang Timur, RT 05, RW 17, Pluit, Penjaringan, Jakarta Utara, JKT, 14450, NKRI",14450
"Perumahan Rawa Bambu, Pasar Minggu, Jakarta Selatan","Pasar Minggu, Jakarta Selatan",-6.295894000000001,106.84502399999997,"DKI Jakarta,Jakarta Selatan,Pasar Minggu",175000000,"-6.295894000000001,106.84502399999997","RT 05, RW 10, Pejaten Timur, Pasar Minggu, Jakarta Selatan, JKT, 12530, NKRI",12530
"Apartemen Essence Darmawangsa, Cipete, Jakarta Selatan","Cipete, Jakarta Selatan",-6.271507700000001,106.80305859999999,"DKI Jakarta,Jakarta Selatan,Cipete",287096400,"-6.271507700000001,106.80305859999999","Jalan Bunga Flamboyan III, RW 02, Cipete Selatan, Cilandak, Jakarta Selatan, JKT, 12410, NKRI",12410
"Apt The Wave 1Br IDR 7,5 Million Nice Decoration, Setiabudi, Jakarta Selatan","Setiabudi, Jakarta Selatan",-6.2075673,106.82690279999997,"DKI Jakarta,Jakarta Selatan,Setiabudi",90000000,"-6.2075673,106.82690279999997","Jalan Setia Budi III, RW 03, Setiabudi, Jakarta Selatan, JKT, 12980, NKRI",12980
"kan Rumah di Lokasi Elite Kelapa Gading, Kelapa Gading, Jakarta Utara","Kelapa Gading, Jakarta Utara",None,None,"DKI Jakarta,Jakarta Utara,Kelapa Gading",60000000,,,
"Metropark Residence, Tower Manhattan,3Br, Furnish,Bagus, Kebon Jeruk, Jakarta Barat, Kebon Jeruk, Jakarta Barat","Kebon Jeruk, Jakarta Barat",-6.183459,106.76474750000001,"DKI Jakarta,Jakarta Barat,Kebon Jeruk",110000000,"-6.183459,106.76474750000001","RW 04, Kedoya Selatan, Kebon Jeruk, Jakarta Barat, JKT, 11510, NKRI",11510
"Modern house and light, Cilandak, Jakarta Selatan","Cilandak, Jakarta Selatan",-6.333488,106.79385300000001,"DKI Jakarta,Jakarta Selatan,Cilandak",764100000,"-6.333488,106.79385300000001","Pangkalanjati Baru, Jabar, 16431, NKRI",16431
"Apartemen Pondok Indah Residence, Type 3 Bedroom &amp; Fully Furnished, Pondok Indah, Jakarta Selatan","Pondok Indah, Jakarta Selatan",-6.275391399999999,106.7820365,"DKI Jakarta,Jakarta Selatan,Pondok Indah",516000000,"-6.275391399999999,106.7820365","Metro Alam III, Jalan Metro Pondok Indah, RW 03, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, JKT, 12310, NKRI",12310
"Apartemen The Empyreal Luas 86 By Prasetyo Property, Kuningan, Jakarta Selatan","Kuningan, Jakarta Selatan",-6.237116899999999,106.82358999999997,"DKI Jakarta,Jakarta Selatan,Kuningan",288000000,"-6.237116899999999,106.82358999999997","Badan Tenaga Atom Nasional, Kuningan Barat Raya (KH. Abd. Rohim), RW 02, Kuningan Barat, Mampang Prapatan, Jakarta Selatan, JKT, 12940, NKRI",12940
"Rumah siap pakai bisa utk kantor, Radio Dalam, Jakarta Selatan","Radio Dalam, Jakarta Selatan",None,None,"DKI Jakarta,Jakarta Selatan,Radio Dalam",300000000,,,
"Apartemen The Empyreal 2BR By Prasetyo Property, Kuningan, Jakarta Selatan","Kuningan, Jakarta Selatan",-6.237116899999999,106.82358999999997,"DKI Jakarta,Jakarta Selatan,Kuningan",168000000,"-6.237116899999999,106.82358999999997","Badan Tenaga Atom Nasional, Kuningan Barat Raya (KH. Abd. Rohim), RW 02, Kuningan Barat, Mampang Prapatan, Jakarta Selatan, JKT, 12940, NKRI",12940
"Tifolia Murah studio 21 Fully Furnsihed., Pulomas, Jakarta Timur","Pulomas, Jakarta Timur",-6.1752528,106.87716479999995,"DKI Jakarta,Jakarta Timur,Pulomas",28000000,"-6.1752528,106.87716479999995","RW 13, Kayu Putih, Pulo Gadung, Jakarta Timur, JKT, 10540, NKRI",10540
"Rumah Murah (PK005825), Muara Karang, Jakarta Utara","Muara Karang, Jakarta Utara",-6.111693,106.777965,"DKI Jakarta,Jakarta Utara,Muara Karang",50000000,"-6.111693,106.777965","Gereja Baptis Indonesia Muara Karang, Jalan Pluit Karang Utara, RT 01, RW 02, Pluit, Penjaringan, Jakarta Utara, JKT, 14450, NKRI",14450
