Address,lat,lng,price,Installment,level,title,location,Complete_Address,Zip_code
"Taman Anggrek, Jakarta Barat",-6.175445,106.82800429999998,4850000000,27830000,"DKI Jakarta,Jakarta Barat,Taman Anggrek","Ekslusif Condo Taman Anggrek 135sqm 3BR+1, Taman Anggrek, Jakarta Barat","-6.175445,106.82800429999998","RW 02, Gambir, Jakarta Pusat, JKT, 10110, NKRI",10110
"Kebayoran Baru, Jakarta Selatan",-6.245697400000001,106.80890060000002,12000000000,68860000,"DKI Jakarta,Jakarta Selatan,Kebayoran Baru","Penyesuaian harga. Sangat Murah dan istimewa. Rumah dilengkapi kolam renang dan berada di lokasi premium jakarta selatan., Kebayoran Baru, Jakarta Selatan","-6.245697400000001,106.80890060000002","Jalan Nipah IX, RT 08, RW 01, Petogogan, Kebayoran Baru, Jakarta Selatan, JKT, 12170, NKRI",12170
"Green garden, Jakarta Barat",-6.168709,106.75530419999996,3000000000,17210000,"DKI Jakarta,Jakarta Barat,Green garden","Rumah di Green Garden, Green garden, Jakarta Barat","-6.168709,106.75530419999996","Jalan Perumahan Green Garden, RT 02, RW 09, Kedoya Utara, Kebon Jeruk, Jakarta Barat, JKT, 11520, NKRI",11520
"Ciracas, Jakarta Timur",-6.3293988,106.87623039999994,980000000,5620000,"DKI Jakarta,Jakarta Timur,Ciracas","RUMAH 2 LANTAI READY SIAP HUNI, AKSES DEKAT LRT CIRACAS, Ciracas, Jakarta Timur","-6.3293988,106.87623039999994","MI Assa'adiyah At Tahiriyah, Jalan Ciracas Raya, RW 05, Ciracas, Jakarta Timur, JKT, 13740, NKRI",13740
"Cassablanca, Jakarta Selatan",-6.2247473,106.84051220000003,3200000000,18360000,"DKI Jakarta,Jakarta Selatan,Cassablanca","APARTMENT CASA GRANDE RESIDENCE|2BR|Full Furnished| Investasi Bagus | Jakarta Selatan, Cassablanca, Jakarta Selatan","-6.2247473,106.84051220000003","The Park Lane Jakarta, Jalan Raya Casablanca, RW 05, Menteng Dalam, Tebet, Jakarta Selatan, JKT, 12960, NKRI",12960
"Cassablanca, Jakarta Selatan",-6.2247473,106.84051220000003,2600000000,14920000,"DKI Jakarta,Jakarta Selatan,Cassablanca","APARTMENT CASA GRANDE RESIDENCE, 2BR|Full Furnished|80sqm| Harga Nego| Strategic Location. Jakarta Selatan, Cassablanca, Jakarta Selatan","-6.2247473,106.84051220000003","The Park Lane Jakarta, Jalan Raya Casablanca, RW 05, Menteng Dalam, Tebet, Jakarta Selatan, JKT, 12960, NKRI",12960
"Bintaro, Jakarta Selatan",-6.274572,106.76953100000003,12000000000,68860000,"DKI Jakarta,Jakarta Selatan,Bintaro","RUMAH GAYA KOLONIAL VIEW PENGHIJAUAN DALAM KOMPLEK DEKAT VETERAN RAYA, Bintaro, Jakarta Selatan","-6.274572,106.76953100000003","RW 05, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, JKT, 12310, NKRI",12310
"Daan Mogot, Jakarta Barat",None,None,3300000000,18940000,"DKI Jakarta,Jakarta Barat,Daan Mogot","Rumah siap Huni Daan Mogot Baru, Daan Mogot, Jakarta Barat",,,
"Cilandak, Jakarta Selatan",-6.333488,106.79385300000001,20000000000,114760000,"DKI Jakarta,Jakarta Selatan,Cilandak","RUMAH MEWAH SIAP HUNI DALAM KOMPLEK ASRI NAN TENANG TAMAN CILANDAK, Cilandak, Jakarta Selatan","-6.333488,106.79385300000001","Pangkalanjati Baru, Jabar, 16431, NKRI",16431
"Cipete, Jakarta Selatan",-6.270492,106.81117500000005,17500000000,100420000,"DKI Jakarta,Jakarta Selatan,Cipete","RUMAH BARU CLASSIC MODERN, Cipete, Jakarta Selatan","-6.270492,106.81117500000005","Jalan H. Abu, RW 07, Cipete Selatan, Cilandak, Jakarta Selatan, JKT, 12410, NKRI",12410
"Pondok Labu, Jakarta Selatan",-6.307711,106.79722800000002,9000000000,51640000,"DKI Jakarta,Jakarta Selatan,Pondok Labu","#BU# RUMAH SIAP HUNI DEKAT UPN, Pondok Labu, Jakarta Selatan","-6.307711,106.79722800000002","Musholla Darul Fallah, Gang H. Gering, RT 01, RW 09, Pondok Labu, Cilandak, Jakarta Selatan, JKT, 12450, NKRI",12450
"Cilandak, Jakarta Selatan",-6.333488,106.79385300000001,35000000000,200840000,"DKI Jakarta,Jakarta Selatan,Cilandak","#BU#MURAH# RUMAH SIAP HUNI BELAKANG HIGH SCOPE, Cilandak, Jakarta Selatan","-6.333488,106.79385300000001","Pangkalanjati Baru, Jabar, 16431, NKRI",16431
"Bintaro, Jakarta Selatan",-6.274572,106.76953100000003,4500000000,25820000,"DKI Jakarta,Jakarta Selatan,Bintaro","RUMAH GAYA MEDITERANIA CLASSIC DALAM CLUSTER DEKAT VETERAN RAYA, Bintaro, Jakarta Selatan","-6.274572,106.76953100000003","RW 05, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, JKT, 12310, NKRI",12310
"Permata Hijau, Jakarta Selatan",-6.2614927,106.81059970000001,7500000000,43040000,"DKI Jakarta,Jakarta Selatan,Permata Hijau","[ #MURAH#BU#DIBAWAHNJOP2019# ] RUMAH SIAP HUNI NAN SEJUK KOMPLEK PERMATA HIJAU II - CIDODOL, Permata Hijau, Jakarta Selatan","-6.2614927,106.81059970000001","RW 06, Cipete Utara, Kebayoran Baru, Jakarta Selatan, JKT, 12730, NKRI",12730
"Cipete, Jakarta Selatan",None,None,8500000000,48770000,"DKI Jakarta,Jakarta Selatan,Cipete","rumah cantik siap Huni, dekat Antasari + swimming pool, Cipete, Jakarta Selatan",,,
"Pejaten, Jakarta Selatan",-6.2781483,106.84242010000003,12000000000,68860000,"DKI Jakarta,Jakarta Selatan,Pejaten","#BU#CASH ONLY# RUMAH SIAP HUNI DEKAT PENVIL, Pejaten, Jakarta Selatan","-6.2781483,106.84242010000003","Jalan Pejaten Raya, RW 05, Pejaten Barat, Pasar Minggu, Jakarta Selatan, JKT, 12510, NKRI",12510
"Bintaro, Jakarta Selatan",-6.274572,106.76953100000003,4500000000,25820000,"DKI Jakarta,Jakarta Selatan,Bintaro","RUMAH DALAM LINGKUNGAN TENANG DEKAT TOL PETUKANGAN / BINTARO PARK VIEW, Bintaro, Jakarta Selatan","-6.274572,106.76953100000003","RW 05, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, JKT, 12310, NKRI",12310
"Kebayoran Baru, Jakarta Selatan",-6.245697400000001,106.80890060000002,12000000000,68860000,"DKI Jakarta,Jakarta Selatan,Kebayoran Baru","#BU#CASH ONLY# RUMAH SIAP HUNI DEKAT AMARIS HOTEL, Kebayoran Baru, Jakarta Selatan","-6.245697400000001,106.80890060000002","Jalan Nipah IX, RT 08, RW 01, Petogogan, Kebayoran Baru, Jakarta Selatan, JKT, 12170, NKRI",12170
"Alam Sutera, Tangerang",None,None,6950000000,39880000,"Banten,Tangerang,Alam Sutera","Sutera Sitara Orlanda Tipe Dandelion, Hanya Jalan Kaki ke Pasar 88 dan Flavor Bliss serta Mall Living World, Alam Sutera, Tangerang",,,
"Jagakarsa, Jakarta Selatan",-6.332805,106.83129600000007,1000000000,5740000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","CLUSTER Nyaman samping Taman Kota Rumah Baru STRATEGIS di JAGAKARSA, Jagakarsa, Jakarta Selatan","-6.332805,106.83129600000007","Politeknik Tugu Jakarta, Jalan Akesa, RW 01, Jagakarsa, Jakarta Selatan, JKT, 12620, NKRI",12620
"Pondok Indah, Jakarta Selatan",-6.275391399999999,106.7820365,14500000000,83200000,"DKI Jakarta,Jakarta Selatan,Pondok Indah","Rumah Villa Pondok Indah - Hanya 5 Menit Ke Gandaria City - Hadap Selatan, Pondok Indah, Jakarta Selatan","-6.275391399999999,106.7820365","Metro Alam III, Jalan Metro Pondok Indah, RW 03, Pondok Pinang, Kebayoran Lama, Jakarta Selatan, JKT, 12310, NKRI",12310
"Kebagusan, Jakarta Selatan",None,None,985000000,5650000,"DKI Jakarta,Jakarta Selatan,Kebagusan","Cluster Harga Termurah Dengan CCTV dan Security 24jam Di Kebagusan Jagakarsa, Kebagusan, Jakarta Selatan",,,
"Jagakarsa, Jakarta Selatan",None,None,3300000000,18940000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Rumah Super Mewah di Kawasan Premium Jagakarsa Dekat Cilandak Simatupang, Jagakarsa, Jakarta Selatan",,,
"Jagakarsa, Jakarta Selatan",None,None,1195000000,6860000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Townhouse Mewah Security 24jam Dekat Tol Desari Jagakarsa Bisa KPR, Jagakarsa, Jakarta Selatan",,,
"Summarecon Bekasi, Bekasi",-6.2261042,107.00086009999995,1700000000,9750000,"Jawa Barat,Bekasi,Summarecon Bekasi","Rumah Cantik dan Murah di Cluster Palm Summarecon Bekasi, Summarecon Bekasi, Bekasi","-6.2261042,107.00086009999995","Summarecon Mall, sumaerecon, Bekasi, Jabar, 17142, NKRI",17142
"Jagakarsa, Jakarta Selatan",None,None,1050000000,6030000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Rumah Dalam Cluster One Gate Dekat Tol Desari Andara Jagakarsa, Jagakarsa, Jakarta Selatan",,,
"Jagakarsa, Jakarta Selatan",None,None,2400000000,13770000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Rumah Mewah Dalam Cluster Jagakarsa Dekat Cilandak dan Tol Desari Andara, Jagakarsa, Jakarta Selatan",,,
"Jagakarsa, Jakarta Selatan",None,None,900000000,5160000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Rumah siap huni bisa KPR Dekat Stasiun KRL di Jagakarsa, Jagakarsa, Jakarta Selatan",,,
"Ragunan, Jakarta Selatan",None,None,2000000000,11480000,"DKI Jakarta,Jakarta Selatan,Ragunan","Rumah Mewah 300 meter ke Ragunan Dan Dekat TB. simatupang, Ragunan, Jakarta Selatan",,,
"Jagakarsa, Jakarta Selatan",-6.332805,106.83129600000007,1400000000,8030000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Rumah 2 Lantai Dekat Jalan Raya Utama di Jagakarsa, Jagakarsa, Jakarta Selatan","-6.332805,106.83129600000007","Politeknik Tugu Jakarta, Jalan Akesa, RW 01, Jagakarsa, Jakarta Selatan, JKT, 12620, NKRI",12620
"Pantai Indah Kapuk, Jakarta Utara",-6.1236503,106.75316180000004,3800000000,21810000,"DKI Jakarta,Jakarta Utara,Pantai Indah Kapuk","Rumah PIK Semi Furnish Masih Bisa Expand, Pantai Indah Kapuk, Jakarta Utara","-6.1236503,106.75316180000004","Jalan Pantai Indah Timur, RT 01, RW 06, Kapuk Muara, Penjaringan, Jakarta Utara, JKT, 14470, NKRI",14470
"Bintaro, Jakarta Selatan",None,None,1500000000,8610000,"DKI Jakarta,Jakarta Selatan,Bintaro","Bintaro dekat Stan Town house melati bintaro, Bintaro, Jakarta Selatan",,,
"Tanah Baru, Depok",-6.362914,106.80042400000002,630000000,3620000,"Jawa Barat,Depok,Tanah Baru","Cluster Cantik DI Tanah Baru Beji Depok, Tanah Baru, Depok","-6.362914,106.80042400000002","Jalan Antariksa, RW 02, Cipedak, Jagakarsa, Jakarta Selatan, JKT, 16426, NKRI",16426
"Duren Sawit, Jakarta Timur",None,None,3500000000,20080000,"DKI Jakarta,Jakarta Timur,Duren Sawit","Rumah Terawat, Duren Sawit, Jakarta Timur",,,
"Pejaten, Jakarta Selatan",None,None,17000000000,97550000,"DKI Jakarta,Jakarta Selatan,Pejaten","Beautiful Modern House located in Pejaten, Pasar Minggu, Jakarta Selatan, Pejaten, Jakarta Selatan",,,
"Menteng, Jakarta Pusat",-6.196425,106.83767,2000000000,11480000,"DKI Jakarta,Jakarta Pusat,Menteng","Rumah Kos Kosan di Menteng CIKINI  Murah SELALU FULL DAN ANTRI, Menteng, Jakarta Pusat","-6.196425,106.83767","TK Semai Benih Bangsa & PAUD Mekar, Jalan Sutan Syahrir, RW 05, Menteng, Jakarta Pusat, JKT, 10320, NKRI",10320
"Pondok Labu, Jakarta Selatan",None,None,18000000000,103290000,"DKI Jakarta,Jakarta Selatan,Pondok Labu","Rumah mewah  termurah fasilitas swimming pool, di  pondok  labu jakarta selatan., Pondok Labu, Jakarta Selatan",,,
"Kuningan, Jakarta Selatan",None,None,1800000000,10330000,"DKI Jakarta,Jakarta Selatan,Kuningan","Apartemen Denpasar Residence 1BR, Kuningan, Jakarta Selatan",,,
"Duren Sawit, Jakarta Timur",None,None,14000000000,80330000,"DKI Jakarta,Jakarta Timur,Duren Sawit","Rumah Mewah Harga Terjangkau Dapat BONUS Mobil, Taman Duren Sawit, Duren Sawit, Jakarta Timur",,,
"Jagakarsa, Jakarta Selatan",None,None,1650000000,9470000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Rumah Mewah LT 130m Dekat Tol Desari Andara Brigif Jagakarsa, Jagakarsa, Jakarta Selatan",,,
"Cinere, Jakarta Selatan",-6.332923,106.77838399999996,2650000000,15210000,"DKI Jakarta,Jakarta Selatan,Cinere","Rumah bagus lokasi strategis, Cinere, Jakarta Selatan","-6.332923,106.77838399999996","Pangkalanjati, Jabar, 16514, NKRI",16514
"Cibubur, Jakarta Timur",-6.3783281,106.91239489999998,5900000000,33860000,"DKI Jakarta,Jakarta Timur,Cibubur","Rumah Dengan Halaman Luas di Taman Laguna Cibubur LT/LB 733/500, 5KT, Siap Masuk, Cibubur, Jakarta Timur","-6.3783281,106.91239489999998","Jatisampurna, Jabar, 16454, Indonesia",16454
"Jagakarsa, Jakarta Selatan",None,None,1350000000,7750000,"DKI Jakarta,Jakarta Selatan,Jagakarsa","Rumah Mewah Dekat Stasiun Lenteng Agung Jagakarsa, Jagakarsa, Jakarta Selatan",,,
"Pejaten, Jakarta Selatan",-6.270482899999999,106.8384873,24000000000,137720000,"DKI Jakarta,Jakarta Selatan,Pejaten","Rumah Di pejaten barat dekat dengan pejaten village, Pejaten, Jakarta Selatan","-6.270482899999999,106.8384873","Jalan Bank, RW 03, Pejaten Barat, Pasar Minggu, Jakarta Selatan, JKT, 12510, NKRI",12510
